"#","ИД установе","Школска управа","Округ","Општина","Насеље","Назив установе","Адреса","Поштански број","Адреса електронске поште","Телефон","Сајт","Матични број","ПИБ","Датум оснивања","Примарна делатност","Власништво","Број одељења","Број комбинованих одељења","Број специјалних одељења","Број ученика","Број девојчица","Број ученика - ИОП 1","Број ученика - ИОП 2","Број ученика - ИОП 3","Број наставника - без замена","Укупна норма наставникаа - без замена","Број запослених - без замена","Укупна норма запослених- без замена"
"84.","1414","Нови Сад","Јужнобачки управни округ","Сремски Карловци","Сремски Карловци","Карловачка гимназија","Трг Бранка Радичевића 2","21205","karlgimnazija@yahoo.com","(021)881777","http://www.karlovackagimnazija.rs","8066906","101422302","1956-09-19","Гимназије","Државно","25","25","0","556","425","0","0","0","92","77.099200","110","95.095900"
"85.","1415","Нови Сад","Јужнобачки управни округ","Темерин","Темерин","Средња школа Лукијан Мушицки","Народног фронта 80","21235","lukijanmusicki@mts.rs","21843272","http://www.sslukijanmusicki.com","8071870","100817548","1946-09-12","Средње стручне школе","Државно","22","0","0","426","204","0","2","0","70","46.104900","80","60.104900"
"86.","1416","Нови Сад","Јужнобачки управни округ","Тител","Тител","Средња техничка школа Милева Марић","Главна 7","21240","sskola-titel@eunet.rs","(021)2960189","http://stsmmarictitel.edu.rs","8050490","101455829","1965-03-01","Средње стручне школе","Државно","14","0","0","250","111","1","1","3","35","28.443300","45","41.443300"
"87.","1417","Нови Сад","Сремски управни округ","Инђија","Инђија","Гимназија","Трг слободе 2а","22320","gimin@indjija.net","(022)555095","http://www.gimnazijain.edu.rs","8111634","100702812","2016-05-30","Гимназије","Државно","16","0","0","430","280","0","0","0","40","30.557200","51","41.057200"
"88.","1418","Нови Сад","Сремски управни округ","Инђија","Инђија","Техничка школа Михајло Пупин","Цара Душана 2","22320","m_pupin@indjija.net","(022)561661","http://www.mihajlopupin.edu.rs/","8004056","100698386","1961-05-12","Средње стручне школе","Државно","21","0","0","526","81","0","5","0","57","46.996500","72","64.496500"
"89.","1419","Нови Сад","Сремски управни округ","Инђија","Инђија","Средња школа Др Ђорђе Натошевић","Трг слободе 2а","22320","djordjenatosevic@yahoo.com","(022)552373","http://www.natosevicin.edu.rs","8656550","100701813","1997-07-09","Средње стручне школе","Државно","22","0","0","561","409","1","9","0","63","49.997600","75","63.347600"
"90.","1420","Нови Сад","Сремски управни округ","Пећинци","Пећинци","Техничка школа Миленко Веркић - Неша","Школска 8а","22410","tspecinci@mts.rs","(022)2436146","http://www.tspecinci.edu.rs","8126356","101426131","0000-00-00","Средње стручне школе","Државно","13","0","0","310","130","0","2","0","33","25.350000","44","37.850000"
"91.","1421","Нови Сад","Сремски управни округ","Рума","Рума","Гимназија Стеван Пузић","Партизанска бб","22400","rumagimn@eunet.rs","(022)474515","http://www.gimnazija-ruma.rs","8196109","101341475","1990-07-01","Гимназије","Државно","16","0","0","399","251","0","0","0","38","29.540000","49","41.470000"
"92.","1422","Нови Сад","Сремски управни округ","Рума","Рума","Средња пољопривредно-прехрамбена школа Стеван Петровић - Бриле","Вука Караџића 70","22400","brile.ruma@gmail.com","(022)474784","http://www.poljskolaruma.edu.rs","8026424","100782421","1965-01-29","Средње стручне школе","Државно","11","0","0","231","97","0","3","0","34","24.984000","48","41.434000"
"93.","1423","Нови Сад","Сремски управни округ","Рума","Рума","Средња техничка школа Миленко Брзак - Уча","Вука Караџића 70","22400","skolambu@mts.rs","(022)474716","http://www.srednjatehnicka.edu.rs","8026416","100782413","1961-07-14","Средње стручне школе","Државно","18","0","0","443","36","0","2","0","49","39.974000","61","54.474000"
"94.","1424","Нови Сад","Сремски управни округ","Рума","Рума","Средња стручна школа Бранко Радичевић","Партизанска бб","22400","srednjabr.ruma@eunet.rs","(022)479033","http://www.srednjabr.edu.rs","8196117","101341266","1990-07-01","Средње стручне школе","Државно","18","0","0","464","346","5","11","0","51","37.460000","66","53.860000"
"95.","1425","Нови Сад","Сремски управни округ","Сремска Митровица - град","Сремска Митровица","Митровачка гимназија","Светог Саве 2","22000","gimnazijagsm@gmail.com","(022)610390","http://www.gimnazijasm.edu.rs","8195242","100517170","2017-10-13","Гимназије","Државно","30","0","0","765","465","0","0","0","74","63.520000","91","81.020000"
"96.","1426","Ваљево","Мачвански управни округ","Лозница - град","Лозница","Средња школа Свети Сава","Саве Ковачевића 1","15300","svetisavalo@mts.rs","(015)878180","http://svetisavalo.wordpress.com","7350686","101561217","1987-01-01","Средње стручне школе","Државно","25","0","0","731","570","2","2","0","75","61.263300","92","79.443300"
"97.","1427","Ваљево","Мачвански управни округ","Крупањ","Крупањ","Средња школа","Вука Караџића 16","15314","srednjaskola.krupanj@gmail.com","(015)7581143","http://www.srednjaskola.edu.rs","7120346","101394778","1965-09-01","Средње стручне школе","Државно","15","0","0","343","151","0","9","0","37","30.973300","47","42.083300"
"98.","1428","Ваљево","Мачвански управни округ","Љубовија","Љубовија","Средња школа Вук Караџић","Дринска бб","15320","vkaradzic@ptt.rs","(015)561773","http://sskolaljubovija.rs","7169795","101301557","1964-06-17","Средње стручне школе","Државно","14","0","0","299","209","0","0","0","34","25.950000","46","38.280000"
"99.","1429","Ваљево","Мачвански управни округ","Шабац - град","Шабац","Шабачка гимназија","Масарикова 13","15000","sabackagimnazia@ptt.rs","(015)350286","http://sabackagimnazija.edu.rs","7120460","100083503","1837-11-08","Гимназије","Државно","28","0","0","745","466","0","1","0","73","61.415000","92","80.715000"
"100.","1430","Ваљево","Мачвански управни округ","Шабац - град","Шабац","Економска школа ""Стана Милановић""","Масарикова 29","15000","sabac.ekonomskaskola@gmail.com","(015)350274","http://www.ekonomskasabac.edu.rs","7120192","100087244","1947-08-13","Средње стручне школе","Државно","34","0","0","960","582","1","10","0","85","71.830000","107","95.540000"
"101.","1431","Ваљево","Мачвански управни округ","Шабац - град","Шабац","Медицинска школа Др Андра Јовановић","Цара Душана 9","15000","medison@ptt.rs","(015)342175","https://www.medicinskasabac.edu.rs","7120583","100110764","1946-09-20","Средње стручне школе","Државно","28","0","0","835","641","0","1","0","100","72.636300","119","94.836300"
