"#","ИД установе","Школска управа","Округ","Општина","Насеље","Назив установе","Адреса","Поштански број","Адреса електронске поште","Телефон","Сајт","Матични број","ПИБ","Датум оснивања","Примарна делатност","Власништво","Број одељења","Број комбинованих одељења","Број специјалних одељења","Број ученика","Број девојчица","Број ученика - ИОП 1","Број ученика - ИОП 2","Број ученика - ИОП 3","Број наставника - без замена","Укупна норма наставникаа - без замена","Број запослених - без замена","Укупна норма запослених- без замена"
"89.","92","Београд","Град Београд","Београд - Нови Београд","Београд (Нови Београд)","Јован Дучић","Милентија Поповића 16","11070","jd-direktor@jovanducic.edu.rs","(011)2142537","http://jovanducic.edu.rs","7029730","100228223","1958-07-18","Основна школа","Државно","29","0","0","662","332","22","7","0","48","43.850000","69","65.350000"
"90.","93","Београд","Град Београд","Београд - Нови Београд","Београд (Нови Београд)","Радоје Домановић","Булевар уметности 31","11070","domanovic@sezampro.rs","(011)3121447","http://www.osradojedomanovic.edu.rs","7029691","101553349","1954-10-05","Основна школа","Државно","35","0","0","964","460","0","0","0","54","52.270000","72","71.770000"
"91.","94","Београд","Град Београд","Београд - Нови Београд","Београд (Нови Београд)","Влада Обрадовић Камени","Добановачка 2а","11070","direktorosvok@gmail.com","112155476","http://www.oskameni.edu.rs","7053657","101200859","1961-09-14","Основна школа","Државно","17","0","0","341","165","13","9","0","31","25.350000","44","36.850000"
"92.","95","Београд","Град Београд","Београд - Нови Београд","Београд (Нови Београд)","Јован Стерија Поповић","Војвођанска 61","11070","ossterija@vektor.net","(011)7189601","http://www.sterija.edu.rs","7029632","101831744","1889-01-01","Основна школа","Државно","37","0","0","976","482","1","3","0","62","59.112700","80","77.112700"
"93.","96","Београд","Град Београд","Београд - Нови Београд","Београд (Нови Београд)","Милан Ракић","Војвођанска 62","11070","osmilanrakic@yahoo.com","(011)2278574","https://www.osrakic.znanje.info","7029748","101831752","1967-02-03","Основна школа","Државно","31","0","0","813","396","2","2","0","57","46.716500","76","66.716500"
"94.","97","Београд","Град Београд","Београд - Нови Београд","Београд (Нови Београд)","Кнегиња Милица","Јурија Гагарина 78","11070","osnovna.skola.kneginja.milica@gmail.com","(011)6158031","http://www.oskneginjamilica.edu.rs","7087381","101681449","1982-05-31","Основна школа","Државно","39","0","0","1022","533","5","2","0","69","62.894500","88","82.394500"
"95.","98","Београд","Град Београд","Београд - Нови Београд","Београд (Нови Београд)","Младост","Гандијева 99","11070","osmladost-direktor@eunet.rs","2177984","http://www.skolamladost.edu.rs","7457057","101201562","1989-02-23","Основна школа","Државно","41","0","0","1081","557","4","2","0","65","60.000000","86","81.500000"
"96.","99","Београд","Град Београд","Београд - Нови Београд","Београд (Нови Београд)","Бранко Радичевић","Јурија Гагарина 195","11070","radicevicbranko45@gmail.com","(011)2158639","http://brankoradicevic-nbgd.edu.rs","7029705","102197540","1972-06-30","Основна школа","Државно","49","0","0","1342","617","15","2","0","84","76.310000","116","107.310000"
"97.","100","Београд","Град Београд","Београд - Нови Београд","Београд (Нови Београд)","Драган Лукић","Неде Спасојевић 6","11070","osdraganlukic@gmail.com","2281765","http://osdraganlukic.rs","17806343","107197227","2011-07-25","Основна школа","Државно","53","0","0","1525","773","15","5","0","89","86.610700","114","113.110700"
"98.","101","Београд","Град Београд","Београд - Нови Београд","Београд (Нови Београд)","20. октобар","Омладинских бригада 138","11070","dvadesetioktobar@gmail.com","(011)6156059","http://www.20oktobar.edu.rs","7053967","100137179","1976-06-24","Основна школа","Државно","52","0","0","1400","674","14","2","0","86","78.855300","118","108.485300"
"99.","102","Београд","Град Београд","Београд - Обреновац","Обреновац","Јован Јовановић Змај","Цара Лазара 2","11500","jjzmajobrenovac@gmail.com","(011)8723640","http://www.jjzmajobrenovac.edu.rs","7038674","101214237","1959-10-08","Основна школа","Државно","59","0","0","1552","758","41","6","0","97","89.264500","124","118.414500"
"100.","103","Београд","Град Београд","Београд - Обреновац","Обреновац","Посавски партизани","Светог Саве 2","11500","osposavskipartizani@vektor.net","(011)7721131","http://www.posavskipartizani.edu.rs","7038747","101215543","1968-05-10","Основна школа","Државно","32","0","0","735","332","12","10","1","57","47.977900","72","62.894600"
"101.","104","Београд","Град Београд","Београд - Обреновац","Обреновац","Прва обреновачка основна школа","Милоша Обреновића 169","11500","pooskola@mts.rs","8721289","http://www.prvaobrenovacka.edu.rs","7038682","101212846","1824-01-27","Основна школа","Државно","28","0","0","600","277","20","5","0","47","41.866600","68","62.866600"
"102.","105","Београд","Град Београд","Београд - Обреновац","Скела","Никола Тесла","Мила Манића Албанте 5","11509","osskela@gmail.com","(011)8770050","http://www.osnteslaskela.znanje.info","7038739","101214500","1965-12-24","Основна школа","Државно","12","0","0","173","80","0","0","0","24","16.170000","34","24.120000"
"103.","106","Београд","Град Београд","Београд - Обреновац","Грабовац","ОШ Грабовац","Грабовац 179","11508","osgrabovac@gmail.com","(011)8760047","http://www.osgrabovac.znanje.info","7038712","101213332","1965-12-24","Основна школа","Државно","29","0","0","414","209","12","3","0","48","40.501500","69","63.001500"
"104.","107","Београд","Град Београд","Београд - Обреновац","Дражевац","Дражевац","Дражевачка 146","11506","skola.drazevac@gmail.com","(011)8780114","http://www.osdrazevac.edu.rs","7038704","101217608","1957-12-27","Основна школа","Државно","17","0","0","180","88","11","6","0","34","26.079900","49","40.129900"
"105.","108","Београд","Град Београд","Београд - Обреновац","Стублине","Живојин Перић","Ваљевски пут бб","11507","oszivojinperic@gmail.com","(011)8791303","http://oszivojinperic.edu.rs/","7047509","101213412","1971-03-10","Основна школа","Државно","27","0","0","449","230","27","7","1","52","41.265900","70","59.405900"
"106.","109","Београд","Град Београд","Београд - Обреновац","Барич","14. октобар","Обреновачки пут 132","11504","skolabaric@gmail.com","(011)8701213","http://skoladobrevolje.znanje.info","7047916","101209163","1965-03-17","Основна школа","Државно","30","0","0","676","345","2","1","0","48","41.954900","69","60.964900"
